Номенклатура АлгаДистрибьюшн факт;Наименование от производителя
1ЭЭ01045 «3D», тон 4.75 Черный шоколад / Black chocolate;Стойкая крем краска для волос  «Éclair» «3D», тон 4.75                                         Черный шоколад / Black chocolate
1ЭЭ01046 «3D», тон 7.0 Русый / Medium blonde;Стойкая крем краска для волос  «Éclair» «3D», тон  7.0                                               Русый / Medium blonde
1ЭЭ01047 «3D», тон 6.0 Темно- русый / Dark blonde;Стойкая крем краска для волос  «Éclair» «3D», тон 6.0                                                   Темно- русый / Dark blonde
1ЭЭ01048 «3D», тон 8.0 Светло-русый / Light blonde;Стойкая крем краска для волос  «Éclair» «3D», тон  8.0                                                    Светло-русый / Light blonde
1ЭЭ01049 «3D», тон 4.56 Темная вишня / Dark cherry;Стойкая крем краска для волос  «Éclair» «3D», тон 4.56                                           Темная вишня / Dark cherry
1ЭЭ01050 «3D», тон 2.81 Иссиня черный / Bluish black;Стойкая крем краска для волос  «Éclair» «3D», тон 2.81                                                         Иссиня черный / Bluish black
1ЭЭ01051 «3D», тон 7.1 Орехово-пепельный / Ash blonde;Стойкая крем краска для волос  «Éclair» «3D», тон 7.1                                                         Орехово-пепельный / Ash blonde
1ЭЭ01052 «3D», тон 9.1 Жемчуг / Light ash blonde;Стойкая крем краска для волос  «Éclair» «3D», тон 9.1                                                     Жемчуг / Light ash blonde
1ЭЭ01053 «3D», тон 10.20 Холодный блонд / Ultra Light ash blonde;Стойкая крем краска для волос  «Éclair» «3D», тон 10.20                                                      Холодный блонд / Ultra Light ash blonde
1ЭЭ01054 «3D», тон 11.13 Жемчужный блонд / Ice blonde;Стойкая крем краска для волос  «Éclair» «3D», тон 11.13                                                  Жемчужный блонд / Ice blonde
1ЭЭ01055 «3D», тон 11.20 Слоновая кость / Ivory;Стойкая крем краска для волос  «Éclair» «3D», тон 11.20                                              Слоновая кость / Ivory
1ЭЭ01056 «3D», тон 5.3 Золотистый трюфель / Golden truffles;Стойкая крем краска для волос  «Éclair» «3D», тон 5.3                                                   Золотистый трюфель / Golden truffles
1ЭЭ01057 «3D», тон 6.3 Золотистый грильяж / Golden nougat;Стойкая крем краска для волос  «Éclair» «3D», тон 6.3                                                  Золотистый грильяж / Golden nougat
1ЭЭ01058 «3D», тон 7.3 Золотистый мускат / Golden ginger;Стойкая крем краска для волос  «Éclair» «3D», тон 7.3                                             Золотистый мускат / Golden ginger
